author,comment,published_at
AgentCucco (Alt),"I got a few tips for people reading this, that I figured while messing around when I was watching, but before that.

I really wanna appreciate how you're not patronizing and instead assume people here already know the basics of code and logic, unlike most tutorials out there that treat viewers like 3 year olds, lol. Also just appreciating having an actual guide that isn't ashamed of telling people ""hey, you wanna learn how to use this engine? Be ready to spend a whole week following along this 15 hour *introduction* "", unlike most introductions that only spend 15 minutes glossing over concepts and expecting you to be ready after that. Just huge shoutouts overall for this guide, a lot of time and effort went into it and it clearly shows. I went from being intimidated and not knowing how to do *anything* in the engine to being pretty confident in starting my first game out of many.

Anyway, here are the tips for the people who clicked show more :P

1.- Holding alt/shift/ctrl before and after holding a node, can help a lot with changing values on the fly. For example, ctrl allows you to rotate in 15° intervals, holding alt allows you to drag the node you're selecting in the tree without touching it in the scene (amazing if you find locking nodes constantly to be annoying), and shift, doesn't do much on its own, but is really powerful when combined with other hotkeys. Try messing around with combinations of these before and after grabbing a node, you'd be surprised at how much functionality there is.

2.- The keys 1-5 allow you to zoom in from 100-1500% in the editor, while shift+1-5 allow you to zoom out from 50-3.13%. This is also really handy if you're someone like me who has a busted scroll wheel that only works when it wants to, lol, but also because I couldn't find a way to boost the zoom speed. Bear in mind the zoom applies to the last position you interacted with.

3.- Holding space allows you to move around the scene without having to use scroll bars or the middle mouse button (which I clarify is busted on my end, lol).

4.- Right click can also be really powerful, it was barely ever used in this guide, but I recommend everyone to mess around and right click everything they see to find really useful functions. One of the more convenient ones I found was adding keyframes in the AnimationPlayer.

5.- Export variables are inherited through inherited scenes. While this was rather obvious to figure out, it was not shown in the guide. I personally used it to streamline the crate and toilet, by making the total_drops an export variable that I added in item_container, so I could just change that value in the inspector for both the crate and toilet.

6.- While this isn't necessary, it can help to clean up your code. This video mentioned that snake_case was the default convention for Godot, and while this is true, if you mess around, you'll find out this varies quite a bit. By messing with CharacterBody templates, I found that the default convention for constants, is SCREAMING_SNAKE_CASE, which is not a surprise if you've worked with other languages in the past, but it wasn't mentioned in the guide. You'll also notice that signals and default functions have an underscore before them (i.e. _ready or _on_body_entered). If you stick to these conventions for your custom connected signals (like the ones in the level script), you'll make your code a lot cleaner, though maybe keep regular functions without the underscore at the start.

7.- This one's a bit more advanced, but it can help you make your code a LOT cleaner, and is unlikely to be covered in the missing 3 hours. Early returns are really useful. If you don't know what an early return is, it means to call the 'return' operation before the end of the function. Say for example you have a really nested function like _process in the grenade script, instead of checking:

if exploding:
    rest_of_code

you can check:

if not exploding:
    return
rest_of_code

You can probably see why this can be really powerful for making your code cleaner, as it reduces the amount of nests in your code. A rule of thumb is, if your code is getting out of the window, you probably have too many nests going on. It might be a bit counter intuitive to read at first glance, but being able to read all your code without having to scroll or look to the right, makes it a lot easier to parse when you're working with it. *Just make sure to return the value the function expects (void is usually the default one)*. This form of writing can also be used with the 'pass' operation when you're working with loops, for example.

8.- On a similar vein as last one, another good habit for readability is separating ands/ors into different lines. By default in python this will give you an error, but you can fix it by just using a parenthesis.

if long_name_condition1 and long_name_condition1 and long_name_condition1:

to

if (long_name_condition1
and long_name_condition2
and long_name_condition3):

You can probably immediately tell why this is a lot easier to read, specially with long conditions that go super off-screen. This might get a little bit weird to write if you have more complex, separate conditions (and/or interchangeably, and using parentheses to separate them), but for repeating conditions like you see in the example with 2 ands, it's really simple.

9.- Take all of these with a grain of salt! I have years of experience with LUA but I'm new to python/gdscript, so someone might come here and explain why some of my points are dumb or overkill. They are just advice that has worked for me personally and hope it might help other people, they are not hard rules set in stone that you must follow :P",2023-07-26T03:03:06Z
threepoundcat,"I’ve been beating my head against the wall with gdscript and Godot for the past month, even after just 50 minutes with this video I understand so much more than I did before!",2023-07-25T22:26:45Z
Cult of Ape,Holy fuck.,2023-07-25T11:14:44Z
Qori,your logo looks like flutter's,2023-07-25T10:33:54Z
mellowminx,"42:09 _ready() is run when a node's children have already had their _ready() functions called
_enter_tree() is run when a node enters the node tree

This was a really important clarification that took a while for me to understand as a Godot beginner.

Thanks so much for this tutorial! 💕",2023-07-25T10:21:18Z
Julien B,7:58:25 Is it really necessary to put this VBoxContaire inside a Control node that will only have that one child? I can't quite figure out what this convolution is for,2023-07-24T13:50:44Z
oanh phạm kiều,Bro make a tutorial about how to use module godotengine in pythonscript plugin in godot please,2023-07-24T10:06:35Z
Mostafa Shmaisani,"Actually we can ( .pick_random()) to pick randomly from an array instead of using ( randi % ...) in the selected_laser variable
It is good to know both",2023-07-24T09:43:23Z
godzilla giroflex,Really cool. Is the course still relevant for Godot 4.1.x? Did they change anything major or we're good?,2023-07-24T03:48:26Z
Getuh Lyfe,10:17:37,2023-07-24T02:09:03Z
Stick Man,I love the exercises! They were super helpful in helping me understand the material.,2023-07-23T21:23:50Z
Samsung A14,"Wat dose return meen?
(Pls answer)",2023-07-23T15:24:27Z
Partrik4,"idk why but whenever instantiate a child scene, if i change the child scene like player it won't update on the level scene, the changes only appear once I play the scene but not while im editing.",2023-07-22T17:34:21Z
Anas Siddique,Thank you so much for this course! This is best course I've seen on Godot :D,2023-07-22T16:52:57Z
Nj Njhjh,holy shit I missed the :42 when I clicked on this,2023-07-22T06:41:36Z
jstro-hobbytech,That's a kick ass opening song. Did you write it?,2023-07-22T05:15:29Z
Jayesh Sarvaiya,"One of the best of Godot 4 tutorials out there !!! Insane amount of details and concepts covered in most easy way possible.... Thank you so much for putting all the efforts together... you deserve more n more subscribers... I REALLLLY hope there will be few more such complete Godot tutorials  + one  on Godot 3D as well, in future. ❤👌",2023-07-21T06:01:20Z
Hayrow,"This tutorial has been a WONDERFUL transition for me from Unity to Godot!! You've explained the concepts really well and iterating through the exercises is such a great tool for learning! 

I did run into one issue with the UI transitions and the Animation Player at 8:42:40 and I would love to know if you have any more insight on this: When trying this originally, setting the color to black made the solid black screen appear on running and I couldn't get it to work as I saw it in the tutorial

After messing around, I found that adjusting the color to black while the animation player for fade_to_black was on the final frame (1 on the counter) forced the black screen to stay up. If I adjusted the color to black while the animation was on frame 0, the behavior was as shown in the video. I found the same thing with the reveal animation

Do you think this is a bug? Or is this sort of Animation Player behavior something you've experienced as normal within Godot?",2023-07-21T04:00:58Z
Corey Lauck,Stellar job,2023-07-21T02:06:12Z
Pan z Polski,"Day 1: 3:21:07
Day 2: 3:45:57",2023-07-20T23:08:10Z
lion papa,No hay subtítulos en otros idiomas,2023-07-20T22:13:34Z
Jakub Neumann,Isn't delta the time to render last frame as we cannot know the current frame render time? It might be significant if frame length differs.,2023-07-20T19:22:34Z
Hellblazer 85,this will be my reference for a top down game. i hope you make a lesson about a level map with toggle on/off,2023-07-20T13:13:01Z
Armaan Mohamed,"I have been waiting for this, thank you!",2023-07-20T08:08:25Z
PinePlanet,I want more,2023-07-20T06:46:45Z
死体,amazing tutorial man!! and for some reason i really like your voice..its very soothing :) thanks for the tutorial,2023-07-20T05:44:47Z
can of soda,"i only have one problem so far and its at about 4:22:00, where the tilemap for the house is set up. If I allow Godot to automatically create tiles, then the tiles will be 16 pixels and too small to work with. If I set it up myself (with a size of 390 pixels), then the ""Cell Quadrant Size"" in the inspector will be too small (I cannot set it to anything below 128) and I will have to place each tile with pinpoint accuracy so that it aligns with its neighbors. I'm not sure if this will be important later and don't feel like finding out 3 hours into the future so I was wondering if anyone had a solution to this
So far though this is the only problem I've faced in 4 hours so thats a plue",2023-07-20T00:39:13Z
Cheeeeeese with bad mouse and keyboard,"Short and informative, awesome introduction to godot",2023-07-19T20:23:00Z
Duncan Directory,8:46:17,2023-07-19T19:17:55Z
Дмитрий Васьков,Can you split video for parts ? ? ?,2023-07-19T17:07:54Z
Rupendra singh,Now you should go for 3D too,2023-07-19T16:41:58Z
Egg,"This is it, this is the video that finally gets me past rotating a sprite in godot. I’m committed",2023-07-19T14:08:41Z
Gustavo Pereira,"Thank you for uploading this for free,  I might finally dip my toes into game develeopment now :)",2023-07-19T12:19:04Z
Phước Thắng Đinh,Can you make an gdscript tutorial,2023-07-19T07:44:59Z
Koden,"6:15:00 Little tip: You can drag and drop the name of a property instead of manually typing it.  So in this case, if you click and drag 'zoom' onto the script, it will give you ""zoom"" this is useful for properties with long/complicated names.",2023-07-19T01:53:28Z
MONK,Thank you very much for the great tutorial.,2023-07-18T18:56:35Z
Duncan Directory,8:36:46,2023-07-18T18:35:47Z
Duncan Directory,8:02:31,2023-07-18T15:56:17Z
YouSupPop,It's the best tutorial I've seen for Godot 4,2023-07-18T13:38:50Z
Sanchayan Mallick,"This really helped me understand the godot engine and gdscript, but when i checked the 3D editor of godot engine, its was different and the scripting is also a bit different, so i am wondering that will you make a 3D tutorial for godot 3D? And if you do then when it will be uploaded.",2023-07-18T08:46:58Z
Cafe俺,この動画の続きがあったと思ったのですが、非公開にされましたか？,2023-07-18T06:50:28Z
Duncan Directory,7:27:09,2023-07-18T01:53:33Z
Druiduk1973,Fantastic. Thank you for this.,2023-07-17T22:02:02Z
Duncan Directory,7:04:26,2023-07-17T17:59:58Z
TeeJay,New sub :),2023-07-17T16:41:36Z
Roody Ridar2,"thanks a lot, you are a legend,
can you make a tutorial for python flet
it would be amazing 😻",2023-07-17T15:26:25Z
Wide Arch Shark,"I am following this through (4 hours in now). This has to be one of the best Godot tutorials on YouTube. It does need you to have a basic coding understanding. Provided you have that, this is a no-nonsense well-paced guide where I'm picking up so much information.

Absolutely brilliant. Thank you so much.",2023-07-17T11:44:30Z
Dimitri Tholen,"I'm only at the 3hr mark, but I'm very impressed by the quality of this course and the fact that you offer this course free of charge. 10/10",2023-07-17T11:42:56Z
Foxmaiden,"I'm really appreciated for  this tutorial! Well explained!
I will definily put yout name on my credits game!",2023-07-17T11:30:45Z
Makaron Tushniak,"Try GMS2, will see how proper 2d game engine should work. In past I wasted time in Unity and Godot for 2d projects.",2023-07-17T09:27:32Z
Steroids_On_Steroids,"Quick question, where did you get all the assets you used for the game (images)? When I load a Godot project it's completely empty.",2023-07-17T04:51:02Z
Duncan Directory,6:29:21,2023-07-17T01:21:22Z
boukhlif abdelkader,يا عرب  اين انتم,2023-07-17T00:40:59Z
Irmain,Thanks you very much for this tutorial very well created and perfect to get start with Godot and continue with it,2023-07-16T18:24:27Z
Duncan Directory,6:07:42,2023-07-16T17:16:47Z
Y_D_7,How is this even possible. This is a gold mine,2023-07-16T14:56:44Z
Andrew Cochran,"Thank you. This video is fantastic. You cover so many concepts that I already thought I knew — that I was already using — but with such detail and logical explanations that cement the concepts in my mind, giving me true understanding.",2023-07-16T14:24:42Z
ras be,lemme get through this video and start thing with Godot,2023-07-16T13:17:00Z
Icrosari,69 views,2023-07-16T13:12:47Z
NikovK,Eleven... hours...,2023-07-16T07:22:41Z
Keith Winget,"It's rare a video comes along that warrants bookmarking the video itself.  Yet, here we are.",2023-07-16T07:03:08Z
50414e5453534806,Any news on whether Viewport Textures are faster? Dealbreaker Reason why I haven't moved over. My project uses a lot of extra cameras creating Viewport textures.,2023-07-16T04:36:54Z
asthalis,"This video is pure gold for Godot newbies or others (like me) who started with Godot 3 and now switch to Godot 4.
A thousand thanks for this !
One happy new subscriber.",2023-07-16T04:01:26Z
Duncan Directory,5:35:55,2023-07-16T01:58:14Z
Henry,holy shit,2023-07-16T00:46:36Z
MySimba,Can you do an Unreal Engine turorial like this? That would be amazing.,2023-07-15T23:43:59Z
Sean S,"I cant thank you enough. Great tutorial, and fantastic presentation.",2023-07-15T19:00:33Z
Dávid Semperger,"Thanks, this is an awesome intro to Godot! After watching the first few hours and messing about for about 3 more hours in Godot I managed to put together a very basic pinball game that I could extend quite a bit.

I wanted to ask though about the pattern of putting variables in a global scene. How widespread is this practice and is it a good idea to get used to it? Being familiar with OOP, it's common to hear people say that you should limit access to your variables as much as possible. Wouldn't it be a better idea to place the player stats inside the player script and share them from there, even if it could be more inconvenient? Was the global script done only for the purposes of the tutorial perhaps? Thank you in advance for your time if you can answer. Keep up the good work!",2023-07-15T13:11:17Z
Hivk,"Man I can barely make my own video last 2 minutes my god.
I'm 6 minutes in and this already looks like an amazing tutorial.
The fact that this is free is amazing!

(I'll update this comment based on how far I've gotten)


23 Minutes in, everything feels really clear, and I never feel like I have to catch up. Gonna take a break here. I also have an issue where I can't drag files into the FileSystem. (Problem solved, I can just open the folder in file explorer)

1h in and everything is at such a nice pace. I don't ever feel pressured, yet I feel so much more in control over the software now. I feel like this tutorial has a lot of potential! Also finally a good explanation of Nodes. Crazy how such a weird concept is finally so easy to comprehend.

1h 22m in, not much more. Was already familiar with DeltaTime, but this just reassured all my thoughts. Nice to see basically every concept being went through, and I'm not even a 10th of the way through. It's now 23 : 00 (11PM) so I'm gonna return to this tomorrow.

2h 10m in. Coming from a Scratch user (yes ... you can actually make proper games in that, you can check out Griffpatch if you want) I'm much more used to writing my own functions for physics and stuff, but these explanations make me feel more confident in these inbuilt one. Especially about ""move_and_slide"" with the ""velocity"" variable.

2h 38m: Timer and signals, this is something I think I was looking for. Absolutely crucial concepts and very nice to know. I will say the ""$Timer.start()"" function wasn't really made clear before the exercise, but after I viewed the solution, everything makes sense :)

3h 20m: Clones huh. This is not at all like Scratch's clones work ... so I'm just slightly confu-.
Whatever so long as I can copy paste rewatch and chatgpt whatever I'm fine I think (I am definetly a professional)",2023-07-15T12:52:33Z
Kato,"Holy Shit, 11 and a half hours? Jesus man! Thank you so much for the support you are showing to the godot community!!! Thank you!",2023-07-15T11:50:26Z
João Robalo,I have a GTX970 and adding just one light to the project makes the entire thing super slow :(,2023-07-15T11:44:12Z
Tj Rizvi,"For newcomers coming from unreal, it seems like to me, nodes are the components, scenes are the new blueprints.",2023-07-15T08:10:41Z
Duncan Directory,5:09:08,2023-07-15T00:54:20Z
Koden,"5:32:32  Workaround for clicking on the one you want to click.  If you hold alt when clicking, you will only select the object that you have selected in the scene menu.  You don't need to lock them.",2023-07-15T00:33:23Z
Koden,"5:31:27 A workaround for if you need split occlusion layers on TileSets, just make a second Occlusion layer and do it with that one, and keep the same mask and settings.",2023-07-15T00:22:17Z
Duncan Directory,4:49:41,2023-07-14T23:29:44Z
"3w4n ,",Epic video,2023-07-14T20:07:14Z
Duncan Directory,4:28:10,2023-07-14T18:50:04Z
Duncan Directory,4:2:10,2023-07-14T18:49:51Z
