author,comment,published_at
Company Buser,It feels illegal to not pay a cent to enjoy your content. This is pure meat (an Indonesian term for something that is all useful),2023-08-10T09:16:33Z
gowith help,i like your videos but it is always too fast for me...,2023-08-10T09:02:06Z
anwar hossen,not so clear.,2023-08-09T18:06:55Z
Bruno Araujo,go #Bard,2023-08-09T16:53:00Z
Chingiz Zhumagulov,Че там. Кто замутит хороший перевод этого видоса на русский и срубит просмотров на своем канале ?,2023-08-08T19:07:52Z
Mayur Teli,Thank you for sharing this Jeff 🫱🏽‍🫲🏼❤️,2023-08-08T10:31:25Z
Jonathan Lee,I'm surprised no one has mentioned or asked why ChatGPT refuses adopting personas sometimes. This is something I've been coming across more and more recently. Is it due to the new AI safety regulations?,2023-08-08T02:19:39Z
Hifzanu,Dear Jeff! Please collab with Ali Abdaal or come to his podcast..,2023-08-07T20:21:45Z
gabner,"The Ultimate Beginner’s Guide to ChatGPT Prompts!

1. Task
Always start the task sentence with an action verb first. I.e generate, write, give, etc.

If it's a multitask request. Give an action verb at every different task.

2. Context
Hard to get right as there's a lot you could give GBT for context. However, focus on being specifics and limiting the possibilities

Ask
a) What's the users background 
b) What does success look like?
c) What environment are they in?

i.e I'm a 70 kg 5 '8 male [User Background] looking to put on 5kg of muscle mass over the next 3 months [Success]. I only have time to go to the gym twice a week and for 1 hour each session 

(Constrain the possibilities).

3. Exemplar 

I.e Prompt you could potentially give: Rewrite [whatever] using this structure ""I accomplished X by the measure of Y that resulted in Z,  _like for example_ I lowered hospital mortality rates by 10% through educating nurses in new protocols which translates to 200 lives saved per year""

You could also literally copy and paste a exemplar off of the internet and ask ChatGPT to do something similar. Give it some context i.e ""[ChatGPT] your a hiring manager at netflix... Draft the job description using this existing job description below: [Copy and paste]"".

4. Persona
Who do you want the AI to be? (i.e your professor who has been teaching for over 20+ years now)

5. Format
Ask yourself how exactly do you want the end result to look like?

I.e I just received a lengthy industry report for my director first give me the three key takeaways then summarize based on topic _use H2 as section headers_ here is the report [copy and paste the report]

Pro tip: When asking ChatGPT to proofread: Make sure you tell it to bold all changes made.
 
6. Tone
i.e ""use a formal tone of voice""

If you can't think of a good tone. Tell ChatGPT how you want to sound then use the word it prescribes. 

I.e I'm writing an email and I want to be taken seriously without coming off as too stuck up and cringey. Can you please give me a list of 5 tone keywords I can include in a prompt for ChatGPT.

Then during your prompt says something like ""Use [the tone ChatGPT suggested] tone of voice]""

(in order of importance, Highest to Lowest, not necessarily the order at which they have to be inserted)

Good Example of all them together

""You are a senior product marketing manager at Apple (Persona) and you have just unveiled the latest Apple product in collaboration with Tesla the Apple car and received 12 000 pre-orders which is 200% higher than Target (Context). Write an email to your boss Tim Cookie sharing this positive news (Task and Format). The email should include a tl;dr too long didn't read section, project background section explaining why this product came into existence, business results section in quantifiable business metrics, and end with a section thanking the product and Engineering teams (Example)

Use clear and concise language and write in a confident yet friendly tone (Tone)""",2023-08-07T20:03:10Z
Ali Ahmad,"Hello dear Jeff.
I'm so glad that you always engage with your fanbase and followers.
This means a lot as a viewer and a fan.
I've also sent you a private message via FB.
Thanks for your considerations brother.",2023-08-07T10:32:05Z
Leandro Martinez,"Jeff, love your videos and especially their aesthetics. Can you share the name of the font you use on the floating white texts like 7:47?",2023-08-06T14:12:33Z
TrumpCorp.,谢谢你😅,2023-08-05T17:58:26Z
Carolina Granaci,"Jeff, really love your videos! They're always filled with good and actionable info, and most importantly no bs. 😉",2023-08-05T15:58:14Z
Kim Smith-Myers,"I seriously love this, especially the ""tell it the feeling you want so that it gives you 5 tone keywords you can include in a prompt for ChatGPT"". I saw one somewhere where you can ask it to play devil's advocate so you can see debatable opinions/outputs for either decision making or stuff like that. The options are endless, which I absolutely love. Thank you! Also, I noticed that the examples (black screen with moving white dots and then the copy over it) are on the screen longer. Thank you!! Not sure why but it helps me take in and absorb the info easier. Love it!!",2023-08-05T13:03:56Z
Owais Bukhari,Drama Name?,2023-08-05T07:40:16Z
Andrea Dong,"Really great value in such a short video, Jeff! Context has always been the trickiest part for me but I've found that sometimes less can be more in the initial prompt. Additional context can always be fed in later on using the conversational interface :3

Also, congrats on 500k! I'm so happy to see how far your channel has come along 😄 I'm gonna make a prediction and say you'll reach 1mil by the end of the year!",2023-08-05T03:33:35Z
Hassan H,"Jeff. From your experience what is the best AI chatgpt to use for construction projects?
Thank you",2023-08-05T02:26:56Z
Leandro,Super helpful. Excellent content. One of the best videos on the channel so far (hard to choose),2023-08-05T00:54:24Z
Anthony Fortes,"Never have I made a YouTube account before. Been walking this planet for 33 years. 

Made this account just to comment the appreciation and thanks to you. 

Amazing knowledge. Really appreciate the time and effort you ( an team if you have one) put into this. Thanks mate 

Subscribed ticked.",2023-08-04T20:20:34Z
HoneyBéär,Great video jeff you earned a new subscriber. 🥂,2023-08-04T03:08:38Z
Jefferson Muhasa,I had started getting doubts and stopped relying on chat but thanks to you Jeff. Am now going to accomplish my tasks with Chat efficiently,2023-08-03T15:05:15Z
Sangram Patil,Great Video...! 👍👍,2023-08-03T14:43:25Z
Denis Samokhvalov,"Thanks for the video, Jeff. Concise and useful tips as always.

It looks like ChatGPT can use strikethrough text. So when using it for correcting texts (6:15), you can ask it to strikethrough the corrected words instead of deleting them, so that you don't have to hop between the corrected version and the original version.",2023-08-03T12:50:46Z
4NdR3,❤,2023-08-03T09:25:26Z
Ike,This is awesome Jeff. I’m glad I came across your video on ChatGPT prompts. It can be discouraging spending time to write the perfect prompt. Thank you!,2023-08-03T08:17:33Z
personaldev,"Chatgpt : As an AI language model, my knowledge is based on the data available up to September 2021. I do not have access to real-time information or data beyond that date. Therefore, any information or events that occurred after September 2021 are beyond my knowledge scope. If you have any questions or need information beyond that date, it's best to refer to reliable and up-to-date sources of information.

This blew my mind..",2023-08-03T05:14:50Z
Ayu,"Thank you, thank you, this really helps me drafting the correct prompt.",2023-08-03T04:24:00Z
Janice Xu,"@2:49 Wow, Jeff is so masculine! It's a great formula to use. Thank you! I don't use Instagram but I gave your muscle post a like😁",2023-08-03T03:45:30Z
Muhammad Shah Wali Jamal,"For me, the most useful video I have come across after a while: detailed, easy to understand and compact. Thanks, Jeff!!!!",2023-08-02T22:47:38Z
Amine BELMAJDOUB,My hero again <3 ! C'mon Jeff show us how you edit your videos! Should I ask ChatGPT how jeff edit videos :P?,2023-08-02T20:28:06Z
Kimberly Parrilli Goldak,Thank you for giving me a nice introduction to ChatGPT!,2023-08-02T18:22:40Z
Kaushal Prajapati,Thanks for sharing Jeffsu.,2023-08-02T16:02:24Z
LE HS,"Chat GPT, can you tone down this bot narrator?  Although he is enthusiastic, his style is a bit too unrealistic perky for me.  l just want to punch him in the face to get that smirk off😂",2023-08-02T14:41:51Z
Pixelpaj,"Cool video, want a 3D printer now 😅",2023-08-02T12:18:28Z
Nathan Krajewski,If anybody is looking for a hack I just tried this. Not sure if it’s a testament to my laziness or I just figured something out but chatgpt users equip a plug-in that lets you analyze YouTube videos specifically transcripts and feed chat gpt this exact video. You then tell it to become a professional prompt builder keeping everything in the video in mind. Worked like a charm,2023-08-02T09:32:55Z
Yoko So,"Chatgpt Formula :

Task, context, exemplar, persina, format

Start task sentence with an Actiom verb : generate, give, write, analyze and cleary articular the end goal is

simple task = generate a 3 month training 

multi-task = Analyze user feedback from an event we just ran. Summarize the top 3 takeaways with a focus on bussiness impqct, and Categorize the rest based on the team responsible

2. context = to limit the endless possibilities

3. exemplars = 

Re-write this [ paste ] using this structure : [ exemplars ] 

For example:

Based on my own resume, help ne structure an answer to the onterview question: ""what's your biggest weaknessess?""

use the Star answer framwork ( Examplar )

[ context ]
[ context ]
Please draft the job description using thebfornat of this existing job description below: [ examplers ]

4. persona = who do you want the AI ro be

tips : think of someone you wish you had instant access to with the task you're facing

example :

""Act like the legebdary investor Warren buffet""

""You are the master storytell Stebe Jobs""

5. format = what end results you want

Analyzing 100+ user feedback
We collected user feedback in simplified Chineese after an online evebt we ran. plwase categorize the user feedback Based on which team needs to follow up: Markerting, Sales, or product

Output in table Format with column headers: feedback, Team, and priority Here's the user feedback:

Type of Formats : email, list points, code blocks, paragraphs, markdown

6. Tone = Professional, polite, clear, confident, freindly",2023-08-02T08:35:37Z
Rikki Lu,Currently studying for this editing position 👀,2023-08-02T07:11:32Z
Lena McMurray,Great video!The bold on changes will be a game changer for me!,2023-08-02T06:51:22Z
Ann Daniels,this video makes me want to double subscribe.  Thank you for this!,2023-08-02T00:38:28Z
Elizabeth Ingram,So cute... and insightful.,2023-08-01T22:09:17Z
Opiniator - Digital Comment Card,Outstanding - thanks,2023-08-01T21:07:21Z
Parker Sheldon,"Jeff, you are the best! Your vids are always so on point and useful. 

Question; what ""shortcut"" have you found to be the best way to quickly ""access"" chatGPT that include a default template with the prompts you've mentioned here. I use alfred, and set up a quick workflow to add a string to the S-GPT apple shortcut. I am not sure exactly how to add the ""prompt"" as a template to the workflow. Not enough time for a deep research dive to figure it out. Overall, this has worked fine, but I am curious if you have found any other workflows that are efficient?

For those who reads this and uses obsidian, I also open ChatGPT with custom frames plugin while working in there. Super handy!
Also, Perplexity is one of my favorite AI search engine tools these days since it provides real sources and suggested follow up questions. Check it out if you haven't. Below is a referral link if you go PRO. 
https://perplexity.ai/pro?referral_code=1X5M3NBN",2023-08-01T20:38:49Z
VAVU,Hey Jeff as usual nice content.,2023-08-01T18:37:18Z
Divya M M,Lit nice,2023-08-01T17:48:08Z
Luís Gil,"The way you break down complex topics, like ChatGPT prompts, in such a simplified manner is truly impressive! Congrats!

Btw, Am I the only one who asks please and say thank you ChatGPT? Idk if AI comes to life, at least they know I was polite to them...",2023-08-01T16:31:48Z
Ibad SEO,"I love Your Cute Content, I'm Guest Blogger & copywriter.",2023-08-01T15:54:11Z
Pᴀʀᴛʜ Sᴀᴀʀᴛʜɪ Pᴀᴛᴛɴᴀɪᴋ,Imagine You are watching this at 2x 🤣🤣,2023-08-01T15:52:15Z
Frank,"thanks, Jeff! it's really helpful! btw, where did you get the eye frames? haha, looks so cool! like dat!😄",2023-08-01T15:45:43Z
Luke Barousse,Figuring out the amount of context to give ChatGPT has been my BIGGEST frustration; appreciate how you broke this down,2023-08-01T15:10:27Z
Benjamin Boster,"Love this format! Thanks for the work to put this together, Jeff. This is the kind of ChatGPT help I’ve been looking for ❤",2023-08-01T14:38:21Z
Vinit Mittal,"Hey Jeff, have been following you for a while and have benefitted a lot from the LinkedIn videos! Thanks!🙌🏻",2023-08-01T14:13:51Z
Shivangi Sachdeva,"Wow, It gonna be super helpful !
Thankyou for sharing Prompt Formula .As usual learning so much from your video ☺️👏",2023-08-01T14:12:26Z
Sanjeev,The master prompter is the one who prompts GPT for a prompt 😂😂,2023-08-01T14:02:11Z
Fuhq Ewe,Is this what you people do with ChatGPT? 😂,2023-08-01T13:50:32Z
bjascmmas,the most often component I use is hands-down TONE = friendly business tone! 😄😄,2023-08-01T13:41:05Z
Sky Dutta,Love it,2023-08-01T13:37:15Z
Laika,"“We delight in the beauty of the butterfly, but rarely admit the changes it has gone through to achieve that beauty.” - Maya Angelou.

You might have a tiny, wobbly step to celebrate. If so, bravo! You might have already integrated a change. If so, bravo! Even when you’ve ignored things for a little while, notice that right now, you are here.

Give yourself credit. Delight in the beauty of the butterfly and don’t forget to stop to appreciate the changes it has gone through to get there.",2023-08-01T13:32:27Z
Saif Ali,Team ChatGPT,2023-08-01T13:17:47Z
Tuqueque,"Hi Jeff, great video as always. I haven't been able to keep up with AI the past couple of months - when I was probably watching 15-30 mins of content each week about the new stuff... How do you view theoutlook, do you think the masses or at least the big companies are going to solely rely on it in the future, etc... any cool news the past two months?",2023-08-01T13:16:50Z
Saif Ali,First comment 😁,2023-08-01T13:16:06Z
