author,comment,published_at
Francis Chic,Every time I get rejected after a job interview I feel like I'm completely useless or have no value to the company I'm applying for. I know this undercut's basically everything you said but to me it seems like it would go a long way for the interviewer to acknowledge that they think someone else would be better for the position but give you some pointers for your next interview because if you don't have value for them maybe you will be beneficial for someone else. Otherwise the feeling I get from interviews is that it's their own benefit and none for the interviewee. Maybe there's a reason bigger than the job that I'm actually trying to apply for it and a lot of interviewers don't acknowledge that or make an effort to.,2022-06-02T15:50:57Z
1God1Fury,"Doesn't help.
When you apply for job YOU ARE doing for yourself and THEY WILL judge you. It's impossible to not worry when you really need a job. This isn't a charity job with mind set ""Here how I can help them. Here is my strong and weak sides. Take it or leave it""",2022-05-17T02:15:23Z
Misaki Takazaki,"I have nothing to offer, so I don't have to work!",2022-04-30T11:57:55Z
Fractals,what a big brain,2022-04-26T21:19:03Z
Das Heino,"these 20 minutes are so needed in our school system!!! xD
But no... here read this page (wich nobody really cares for) while the teacher is teaching another class...",2022-04-24T16:43:50Z
Elliott Prechter,I’ve been both employee and employer and this is the best interview advice I’ve heard,2022-04-23T20:37:51Z
Alina,Ah if only I had seen this before my interview last week. It would've really helped with my nerves. Staked too much of myself on it 😮‍💨,2022-04-19T04:01:03Z
Ritesh,"One interview advice that I got is ""Don't just mention what skills and experiences you have, but also how you can apply these skills to the job position"". You have to convince the interviewer that you can learn and solve their problems.  This is how I got a job as an Oracle Database Administrator while having no experience in the database side of things. They were very convinced that I was willing to learn and grow and decided to invest in me.",2022-04-15T16:03:26Z
Brett Hake,"The ""you have something to offer"" part is also a decent way to approach a first date in my opinion, which is another type of interview in a way.

You have something to offer. Don't try to convince the person to date you. Genuinely put yourself out there, and let them decide.",2022-04-14T16:00:34Z
Stray GameplayWalkthrough PS4PS5,"As long as the boss drinks like I do, I can get any job...energy drinks that is ;-)",2022-04-14T01:53:55Z
Seis,Perfect advice imo.,2022-04-10T06:45:55Z
Lane R.,"He's so right. The ""me, me, me"" culture in the US has become so detrimental to the psyche of young folks (and plenty of older folks but they have has a chance at life experience changing their mentality). Walk into a job interview with the goal of offering your skills to THEM for THEIR benefit. Walk into a speech with the intent to offer your information to THOSE people. This is a massive view shift that we are never taught and have to learn on our own in the US. Maybe other countries are more prone to the service angle, but here it's a me, myself, and I culture first, and what can THEY do for ME. It makes me sad because we've lost so much good community among neighbors, coworkers, and peers over the past 4-5 decades.",2022-04-09T07:09:14Z
Anne T.,"My problem is that I have quite a chaotic resume and I don‘t know how to explain it best... even though I have learned a lot and I‘m at peace with myself, I realize that my resume doesn’t look too good.",2022-04-08T16:34:25Z
anubis2814,"Sadly if you are desperate for a job all these ideas go out the window, thizs is much easier to put in practice if you aren't on the edge of poverty trying to find a job.",2022-04-08T15:12:45Z
Destroyer Inazuma,"This motivated me to keep sending applications. I wouldn't mind meeting more publishers, but I have a lot of resistance whenever I set up encounters with people I don't know. I try my best to focus on the other party and not think about how awkward I might be, and usually conversations go well, but it's hard to enjoy conversing with a working professional when you aspire to reach where they're currently at. It's not jealousy, it's more like internalized self-deprecation.",2022-04-08T12:30:42Z
Xolin11,Damn...that's why they tried to teach us how to give a presentation in school...,2022-04-08T00:50:59Z
Felicia Lohidajat,"What you said was really interesting - in my musical studies, I read in a book called The Art of Musicianship, a very similar concept - “Believing that you are playing on the stage at that moment because you are capable of doing it will result in a better performance.”",2022-04-07T20:41:09Z
LC Nick,You simply get used to it.,2022-04-07T09:36:16Z
Ally,"I am currently in the process of job hunting. Speaking from experience, does anyone have an additional tips to offer? I do my best to study up on the company and my interviewers, prepare questions, and make sure to apply my past experience related to the job I am interviewing for.",2022-04-07T01:22:46Z
Oh NotAgain,THIS IS GOLD! THIS CAN BE APPLIED TO SO MANY THINGS! Such an easy shift of focus...you go from talking to a person of authority to ...telling a friend about what you got without caring if they like it or not. You just share to see if the idea is compatible with them. Amazing.,2022-04-07T00:02:45Z
fred jones,"This is an essential concept. However, don't skip the prep work. Prep, prep, prep, then use this concept.",2022-04-06T22:11:59Z
Coragon42,Performance anxiety is like internal stereotype threat.,2022-04-06T20:21:19Z
Joy,"I got into comments to look for someone talking about ""شكشوكة"" 😂",2022-04-06T20:14:41Z
ANDROID,DOCTOR K!!!!!!!!!!!,2022-04-06T19:10:12Z
phesterful,"A lot of this was very helpful, thanks for sharing. I'm looking for a job right now, and will likely put some of this into practice in the next few days. As a programmer, I'm fully aware that using a skill is even more essential to learning it than merely reading / hearing about it.

I'm also neurodivergent (adhd + autism), and that often presents as clear adhd + some social anxiety (often straight-up social phobia). I have experience public speaking on college and high school debate teams (national circuits), and from work... including seriously bombing some speeches. Both from social anxiety and from not being able to communicate technical skills due to lacking them... to simply not communicating well. Among peers who've given speeches, I can laugh, because I know social anxiety and performance anxiety (stage fright) is extremely common among very gifted speakers and performers.

My perception of my own anxiety is often (not always) that I'm focused on others and do not understand their perspective. I may have trouble recognizing their understanding or their nonverbal feedback (see above: neurodivergent). I often have little perception of my own anxiety until after others react to my symptoms that they find disturbing or very distracting. That happens most frequently when I have lingering doubts about my technical expertise (real or imagined), the stakes for a conversation are high (as in senior management, regardless of expertise), or I'm including opinions that people I respect might quickly disagree with. When that type of situation hits, I am not at all focused on myself. I am strongly dissociated, from my perspective. That fits well in-line with problems I have recognizing depression until I have clear physical symptoms.

Any new ideas about that?

I should add that I often find your videos helpful if I make myself sit through at least the first few minutes. I've often said ""oh that's not at all my perspective and Dr. K doesn't relate to how I think"", while many of your later descriptions about how social interactions work are still extremely useful (again, see above about being autistic and frequently socially blind). Thanks for making the world a better place and spreading compassion.",2022-04-06T17:45:57Z
Dreami Sover,"I like the format of showing bits of the video at the start to let the people know what they are in for. 
A lot of people think very self centered, but since we are mostly like that, occupied with our own lives and thoughts, it is highly likely that our worries for how others, especially strangers, perceive ourselves are highly exaggerated or far less imporant than we believe. In an application process, I think that the company will only focus about getting a candidate with appropriate skill and perhaps company culture fit. If you are a bit awkward during the interview process or have a weak performance, but are otherwise trying to act professionally, nothing bad will happen, you just won't get the job and that's it. But always try to go for it if it is a job you can imagine working for/job you wanna do.",2022-04-06T15:19:36Z
Berrymouse,"I used to do hiring for my former company, and was part of the interview process of hiring new software developers for entry level positions. At least for me, I was mainly just looking at whether we would like working with them and secondly getting a feel for how they deal with problems. To be honest, most people who we were interested in enough to interview had great resumes and we were already 90% confident that we would like to have them. But we typically get a roster of 3ish interviewees per position, and we have to make tough choices. (Interviewees reject our offer sometimes too!) So definitely don't be disappointed if you don't get an offer.

If you get a lot of interviews, but no offers, I would evaluate the way you do your interviews. I would bet there's something obvious that is disqualifying you from offers. We had one guy who came in and was really funny and talented, but he went on a story about how he got fired from a previous job for going to work drunk. Don't tell that story at a job interview! O.o

Since we hired engineers, we would usually have a technical interview portion where we would have our interviewees solve a few problems. Occasionally, we would have people who would just freeze up and say ""I don't know"" to all the technical questions. Unfortunately, that usually let other interviewees get hired over them. But it's definitely okay if you don't know how to do things or even if you solve it wrong. We're more interested in seeing whether you were able to identify an approach to solve the problem and we definitely didn't mind helping you if you ask us questions. Literally none of our hires answered every technical problem perfectly. I didn't either, when I got hired.",2022-04-06T12:59:10Z
gpui 273,Dr K always seems to put out the videos I need at any given time.,2022-04-06T11:43:25Z
4xzx4,If you are prepared then you will be more confident when having a speak. Know your material and practice practice practice.,2022-04-06T10:41:07Z
Mikołaj Cisowski,Hi Dr K do you think making some material regarding Highly Sensitive People would be interesting and helpful for the community?,2022-04-06T10:33:35Z
Wolfy 5Svn,"Offering 2 helpful tips that have always helped me (mostly interview tips cuz a speech is pre-written most of the time) 1. If you feel like you're saying ""umm"" too much slowly transition and shut up. They don't need to hear you thinking about your answer. 
2. At the end of every interview mist people ask if you have any questions, there should always be one as the interviewee ask ""was there any questions you'd like to ask me so i can clarify?"" 🤷🏾‍♂️ if you did say something confusing or distressing to the employer it's your opportunity to do damage control or explain in depth.",2022-04-06T09:51:10Z
Jan Kučera,I never played with other kids because I didn't like them pretending to be adults. I thought they were the ones broken. Does it mean I'm narcissistic?,2022-04-06T09:28:40Z
PsycheTrance65,"This would have been so useful to me 15+ years ago in high school
Every year, we had to perform a poem or something for English class, and I always failed them because I pretty much just forget everything and freeze the second its my turn at the front of the classroom.
That said, better late than never. I can still use this for when I want to switch jobs lol",2022-04-06T09:08:15Z
jkleins,the into music gives me anxiety a lil bit lmfao anyone else???,2022-04-06T09:05:06Z
Romas Noreika,"People are miss understanding the meaning of a job interview. You have to know one thing that is it. You are here to make them money. It is business after all no personal crap. So when you go to a job interview you are actually making a trade, you are offering your time and expertise for their money. You have to know what are u selling. If you do not know what are u selling you will have a hard time in a job interview thus you will not feel the confident anout urself.

In general you will eat crap in the begining until u will get experience and knowledge thus also you will get self respect and confidence. After that your mindset is ur limit.",2022-04-06T07:55:18Z
SilentVinyl,hmm,2022-04-06T06:53:13Z
Noerfi,"Well one problem is: you want a job so you don’t land on the street. And if you have to do many many interviews or don’t even get invited to many interviews, then any interview you DO get has really high stakes. Because it feels like your livelihood depends on the success. That’s not nothing. It’s actually a good reason to be anxious. So what Dr. K describes shouldn’t take away your anxiety, it’s okay to be anxious. But its simply a better strategy to be less occupied with yourself and instead focus on the thing itself (the company, the problem to solve, your interview partner etc), so your chance for a positive outcome is just higher. It’s quite pragmatic",2022-04-06T05:43:45Z
Noerfi,"When you’re socially anxious, focus on the THING ITSELF instead of on yourself. The content of your presentation, the problem you’re solving, the thoughts you’re sharing or someone is sharing. The content of those things. Being socially anxious is having too much investment in your ego. People don’t like if you’re just occupied with your ego, which makes social anxiety kind of self fulfilling",2022-04-06T05:39:27Z
Nikhil Dugar,I have an interview in 7 hours and I am seeing this. Wish me luck.,2022-04-06T05:34:28Z
Kory Ogden,"Is Dr.K from the South US? I hear him using ""yall"" too naturally",2022-04-06T05:32:40Z
Mizore,"The timing of these videos are insane, really needed this",2022-04-06T04:15:18Z
canuckasaurus,"Funnily enough, the interview is the easy part. It's the negotiating which comes after that takes some nerve.",2022-04-06T03:43:22Z
All The Artsy,"Going into a job interview, it's best to think of it like a blind date— it's between two equal parties. As much as ""the job"" is looking for the right fit for that position, you are also looking to see of the job is a good fit for you.

Ask about work culture. Ask about benefits. Ask about retention. And whether people who leave the company come back.

They want your expertise and are willing to pay for it. You want the job and are willing to work for it. It's a win win. No need to stress.",2022-04-06T03:20:06Z
Ryan Thomas,I’ve got an interview tomorrow so this is pretty spooky timing! This is great advice that I’m definitely gonna keep in mind!,2022-04-06T02:48:49Z
NotJay163,I desperately needed this. Thank you Dr. K,2022-04-06T02:30:01Z
Harry Poderskis,"My approach to job interviews designates the interviewer as a client. I guess it is my comfort zone after pitching in a startup marketing agency environment for several years. A year ago I joined a company as an employee and dealt with toxic office politics using this setup. Toxic colleagues? They’re the clients employees, treat them professionally and deny them the right to close distance which would give them the opportunity to express their toxicity. Required to work overtime? Okay, note the hours down, seal it on with a formal email and, when I need it, inform about my leave to make up for those hours. Since I freelance, I have no job security tab hanging over my head, or as far ad they are aware, so it worked really well and every encounter with the toxic leadership turned out in my favour.

Dr. K says that one should let go of ego, but I guess I come from different worlds and negotiation IS ALL ABOUT you. And them. It may be a trick you may pull on yourself to make you more comfortable at an interview, but one too many of these tricks and you’re in a bad mindset to negotiate for your own good.",2022-04-06T02:23:21Z
AcotoTheTraveler,"I add in ""I'll occasionally say things to entertain myself (within reason, got to account for the type of audience)"", which works out pretty well for me.",2022-04-06T01:49:29Z
Abhishek Singh,"Could you also cover this topic, why psychologists think they have an answer to every problem conceived 😜 just joking",2022-04-06T01:47:36Z
omar,just get up off your ass and punch life is all i can say for those low in confidence in anything 💪🏼,2022-04-06T01:36:49Z
na maidilfitri,i didnt know something as simple as changing your goals could make a difference..thankyou for your vids,2022-04-06T01:16:23Z
Ry S 2,Hey guys I'm fairly new to this channel but I was wondering why Dr K doesn't post/do any interview 1on1 style videos anymore?,2022-04-06T01:09:48Z
Rastaman223,If you walk in knowing you will get the job you will,2022-04-06T01:00:28Z
Nathaniel Loue Ferandez,Your videos seem to come at just the right time for every thing I think about! Thanks!,2022-04-06T00:46:12Z
Lyrick,This was SO helpful! 🎉,2022-04-06T00:10:12Z
TundraFire,"What if you dont fit with anything but everything at the same time, I like to say my adhd makes me a jack of all trades knowing lots but not having enough retention to master any. Where tf do I work in arizona???",2022-04-06T00:00:11Z
KepDeep,Life became alot easier when i stopped preparing lol. Just go with the moment.,2022-04-05T23:58:02Z
Luke Jackson,"I always think about it as seeing if the company is a good fit for me, it's not a test at all but a meet and greet and a chance to talk about the work I've done and the work I'm excited about.",2022-04-05T23:51:38Z
Orion ,"Letting the public have access to lectures from someone as brilliant as Dr. K who most people would never be able to meet IRL is such a wonderful thing.

❤️ Amazing",2022-04-05T23:48:05Z
Kell,Interviews have been the bane of my existence for so long. I always undervalue myself and make everything personal. Needed to hear these words.,2022-04-05T23:43:51Z
Urano,"I'm starting to be a dungeon master and this 100% fits, thank you so much",2022-04-05T23:39:22Z
Adamm1726,"Not gonna lie, really could have used this yesterday. unlucky release timing for me lol",2022-04-05T23:32:09Z
Orion ,"This is such a brilliant and well articulated take on this.

Love your work, Dr. K 🙏 Thank you",2022-04-05T23:31:11Z
Rufus Holland,"I had an interview recently where I had the list of questions they asked last time and was super comfortable with the ones I read and prepped for. But then they started mixing them up and, my god…at least I can say though, this video has helped a lot! 😅",2022-04-05T23:25:21Z
M. V. X. M. V. X.,Thank you for this video.,2022-04-05T23:25:10Z
Leelee17,"Notes from video for self

This is what I can do for you
if they don't like it, that's fine. your choice to accept it or not
this is what i can do
orient your mindset to one of service -- you're offering your services: skills, personality, potential
don't think about the way you're presenting yourself and how you're being judged
they are there for themselves, to hear and learn the information that you happen to have
they want to hear what you have to say
this is an opportunity to share enrich the lives of those around you
it's not about you

in social situations: balance between trying to have a good time yourself and paying attention to others and what they have to say
noticing things in other people, and then noticing it in yourself and reflecting when you see it appear",2022-04-05T22:59:00Z
Arturo Gonzalez,This is the exact way to how you should approach girls,2022-04-05T22:28:24Z
BlackFyre,So employer actually answer ppl?,2022-04-05T22:25:01Z
Mahmoud Abuhassan,wheres chat son? sadge,2022-04-05T22:24:01Z
SunflowerRunner,"I literally just got home from an interview, and now I'm seeing this lol. I think I did good, other than I smelled like gasoline because I came straight from my current job where I splashed gas all over myself an hour before I left, but oh well.",2022-04-05T22:19:53Z
Quickfoo,"Top-tier video HeathyGamerGG. It was very informative, to the point, and covered a lot of social interactions you could come across in life. Thanks a ton for sharing this advice with us!",2022-04-05T22:08:45Z
Jorge Chávez,Dr K spittin str8 fax,2022-04-05T22:00:32Z
Matt Kraig,I’m literally about to start the interview process with the phone call tomorrow and the hopeful in-person interview soon after. This was perfect timing!,2022-04-05T21:59:26Z
MaccusFNS,I subconsciously knew this. I had no problems getting a job but once I was on the job I'd always mess that up and get shut down by self-inflicted pressure,2022-04-05T21:54:19Z
Hungry,"This honestly helped me think differently of social interactions, not the place i thought but thank you for the words man, you're doing a lovely job",2022-04-05T21:34:51Z
brightcat135,"I'm in the middle of job hunting, this could not have come at a better time",2022-04-05T21:32:00Z
tns4,"Wait, fatal insomnia?",2022-04-05T21:27:40Z
Forgoroe,❤,2022-04-05T20:59:42Z
xD,Among us,2022-04-05T20:27:30Z
G IV-0,Imagine the interviewer naked works best,2022-04-05T20:20:19Z
Q269,"I am glad you've got a professional doing the video editing, it feels like there was a recent upgrade.",2022-04-05T20:19:31Z
Jelissei,"I have to give speeches at job interviews? You just induced a whole new level of anxiety to my life :D

edit: ok, some things got mixed up in the beginning. I approach job interviews more as an opportunity to get to know the people there. If I only have to present myself and no conversation is possible where they convince me to work for them as well, I would probably not like it working there.",2022-04-05T20:19:05Z
Virgil,Dr K is a great comedian.,2022-04-05T20:15:39Z
Damgam,"Sounds like EXACLY my problem. But i'm not strong-minded enough to just ""ignore"" it all.",2022-04-05T20:15:23Z
Champion Sanchez,"As an employer, when I’m asking people about their previous jobs, yes applicable experience is a big deal but also just being able to tell me a lot about the specifics of the job. Like, if your only experience is working at a fast food place, but you can tell me all these detailed things about the process, the equipment, responsibilities, etc, that shows that you learned a lot while you were there and retained that info. It shows that you’re bright and passionate and like to learn. Sometimes when I’m interviewing people, it feels like they’re hesitant & insecure to talk about those “low tier” jobs. Don’t be ashamed about it, we’re asking because we want to know! Talk to us about the things you did and learned there, what you liked about the job; don’t just try to relate everything to the job you’re trying to get, yes do that, but also just tell us about what interested you",2022-04-05T20:14:21Z
Andrè,"I find asking good questions shows you are interested and can think beyond basic job duties. Be interested in the company and be personable, it goes a long way.",2022-04-05T20:12:01Z
Neil Du Toit,"Former national debate champion. Great video. Dr K is on point. You almost certainly know something your audience doesn't, be excited that you get to tell them about it! 
My biggest tip for any speech/interview is also, understand your audience. Figure out what they're expecting you to talk about. That might mean going through their social media, talking with them beforehand, or figuring it out on the fly by watching how they're reacting to what you're saying. But, as Dr K says, if you get stuck in your own head, that's when you lose the audience. You have to understand them, and what they need. You have to empathise.
I'll never forget, at my first job, we were developing a small educational game for young kids. The client comes in and my boss was trying to explain to him how the game works. And the client keeps saying to him that he only knows about FIFA because that's what his children play. I'm standing there thinking, this guy is making it so easy, he's literally told us exactly how to explain things to him. All you have to do is explain everything in terms of FIFA. Use FIFIA analogies. Talk about features in FIFA that our game has as well. etc. But my boss couldn't. He just kept going on with the points he had prepared beforehand. And the client is sitting there and has no idea what he's talking about. It was excruciating to watch. This happens all the time. People tell you exactly how they understand the world. They tell you the language that they understand. Use that information! Explain things to them in their own terms! Literally even just using the same words that someone else uses will make them like you immediately.",2022-04-05T20:06:36Z
Tuneman6000,im gonna go have a good time and get a job,2022-04-05T20:03:31Z
G03t,"Ima be honest I enjoy giving presentations because it is a free opportunity to info dump on people. And I love info dumping. In addition, I understand how rare it is to get such a chance so I am always full of energy and tries my best to make it fun and interesting for others. It might just be me but it really is heaven for me.",2022-04-05T19:56:55Z
Lil Pope,the timing on this 🙏,2022-04-05T19:53:29Z
whatever,I can't wait for someone to make a video of K talking to K for group setting saying you can learn the important stuff when you see yourself in what other people are doing.,2022-04-05T19:46:01Z
David Malmström,That rotating color border was really distracting me from the content :/,2022-04-05T19:42:40Z
Chris Churchlow,"Honestly what really helped me begin to succeed in interviews is to try and get along with the interviewers - they want someone they will enioy seeing everyday, be positive and friendly, make casual conversation and it will go a long way",2022-04-05T19:41:25Z
Tindre,"I try to think of job interviews as a date after knowing that you have piqued their interest. Now it's just about figuring out if it's a good match for both people. They need to like me, but I also need to like them.",2022-04-05T19:25:59Z
Johnny Beaver,What if the prof told you to give a speech precisely to judge and make fun of you? I can see a few profs doing that.,2022-04-05T19:10:20Z
K. CHAN,I just stopped caring and treated like I'm a mercenary. I either get a job or I don't. There are always ways of making money. Since I change to that outlook I've never not gotten a job and I've left jobs whenever I felt like it.,2022-04-05T19:09:26Z
Joshua Merilatt,I had an interview yesterday.  I think it went well!  We shall see… I hear back in about a week.,2022-04-05T19:05:49Z
Jens A,"Something I was told by someone working in HR once, was that in many cases, job interviews are about personality first and qualifications second. If you're invited to an interview, they already know your CV, so the purpose of an interview is moreso to find out whether you're a good fit for the company. So if your natural attitude and instincts is to crack a joke every now and then, do it. If it's more to gush about the interests related to the job, do that. You don't need to prove yourself to them.",2022-04-05T19:03:34Z
meowth900,Some weird part of social situations is like at least in loud places my brain is like “I’m not having fun” because noises stress me out. But I also don’t wanna leave and make other people feel bad or question what my problem is. Lol.,2022-04-05T18:53:52Z
Mr. Gibbons,They just want you to be reliable.,2022-04-05T18:51:44Z
Amrita Pramanik,You had been giving us lyf changing lessons and advices in halfpant all this tym?😮🤣🤣,2022-04-05T18:43:33Z
FANNIX,I like the new intro style with the epic music and stuff 🌈,2022-04-05T18:43:16Z
Sachin Patel,Editors really giving us some awesome starter clips to wait for holysmokes well done!,2022-04-05T18:29:31Z
mikhail,I needed this dr. K,2022-04-05T18:26:41Z
Mr_Mystery,I would sum up what you said as “be yourself and see what happens”. I think people’s lack of self esteem is giving them the idea they have to mold themselves into something they are not in order to get what they want. I believe that by being yourself you will attract people and opportunities that suit you more and appreciate who you are and what you have to offer.,2022-04-05T18:22:33Z
Invisible12345ful,"Dr. K: ""I have  very little to no formal training in giving speeches""
Dr. K: Proceeds to make a 450th+ video to an audience of 900k+ subscribers and plenty of twitch viewers without a script.",2022-04-05T18:15:18Z
KING FU,can’t give of self if no one is willing to receive and you can’t be received if no one is willing to receive you. more me me me i am aware,2022-04-05T18:02:23Z
Little Macaron,I'm preparing for an interview soon so the timing of this vid couldnt have been any better.💚💚,2022-04-05T17:59:45Z
Håkon Broder Lund,"Beside the talk. Love your new studio setup! Lighting, background, sound. All very personal, inviting and professional at the same time.",2022-04-05T17:54:47Z
Peteriliac,"Might help to change the title. I understand it references the post, but it seems to be more about public speaking than a job interview. Great stuff either way!",2022-04-05T17:53:10Z
Tim Portantno,"I've always done all this intuitively, but it didn't really reduce the anxiety around the stakes.
In terms of speeches, thinking about the next line to give the best speech, or to not look stupid, didn't matter. Same stakes, same anxiety.",2022-04-05T17:47:38Z
Jake Jason,group coaching is really bad. My mental health got even worse at the end of it.,2022-04-05T17:47:21Z
erdwuzz,two tone malone talking job interviews,2022-04-05T17:41:50Z
Michael Danielson Bass,I’d like to add that you can flip the script and interview them.,2022-04-05T17:39:39Z
Michael Danielson Bass,Two weeks too late for this upload.,2022-04-05T17:34:09Z
The Handler,"lmfao I went to a job application, talked and joked with the guy, instantly got the job. The interviewers are humans too, don't treat them oddly.",2022-04-05T17:31:32Z
Kiki Tauer,What is a difference between default mode network and mindfulness?,2022-04-05T17:30:44Z
wamspride,"All my interviews have been ""can you do the job?""
All you have to say is  ""I can do the job""
After that it's usually just chatting and then you get an offer.",2022-04-05T17:28:34Z
Mintee,"For giving a speech and thinking one may mess up, I think one idea is that this seems to be a form of binary thinking, either one messed up or one didn't, when it's really more of a spectrum of skill.

That doesn't even talk about more fundamental questions, such as is it a good business strategy to only hire people who are successful who fear failure, rather that desire success and noting that growth means going into places that one isn't as skilled as and failure is much more typical.

Then, the issue with failure I see is really avoiding costly failures.",2022-04-05T17:23:51Z
Andrew F Tutor,I think the attitude of detachment toward a job would be greatly improved if we all had universal basic income.  We would not have to worry about not getting the job.,2022-04-05T17:23:26Z
Paaperman,"Its most important to remember the mission and not the logistics. Even the least articulate people, if they talk about something they know about, are confident in, or are passionate about, the reception will always be good, even if its sloppy.",2022-04-05T17:16:19Z
Lord Nessa,"I really love your videos, they are interesting, especially if they are shorter because I can stay more focused.",2022-04-05T17:13:47Z
Siim Karel Koger,I have the opposite problem. I'm pretty decent at giving speeches and teaching but pretty darn awkward in real conversations. I guess the problem is in the first case I know I have something to give to other person(s) but when I'm having a simple conversation then I start thinking if the other person actually gets something from this.,2022-04-05T17:12:10Z
BigBeerBellyBen,man... Dr K... I literally have an interview and this video calmed my nerves a lot. Thank you for everything you do. I wish I can speak with you 1 on 1,2022-04-05T17:09:20Z
Nicholas Bonasoro,"As a person who has hired around 75 people mostly entry level positions, just arrive on time well dressed, and behave in a way that shows you have a positive attitude and a good work ethic. We called you back because we are interested in you, the interview is really yours to screw up. If the interviewer asks why you want to work at the company answer by saying I can provide XYZ skills that I believe will make me a value member of your team. Have a couple of questions such as what are the characteristics of successful people in this position, and end by asking what the next steps are. I'm amazed at just how low the bar has to be for employees because people have bad attitudes, don't show up on time, and can't be trained because they can't admit their wrong. The advice here also applies to dating. Just discuss honestly what's on your mind and the outcome doesn't matter. It's really important to have faith that there are opportunities for you and you will succeed, it may take alot of attempts and time but it will eventually turn out well for you. There are very few make or break moments I  life, you can always recover from mistakes.",2022-04-05T16:57:07Z
Sheil Choksi,I have an interview in 30 min. thank god this vid is only 20,2022-04-05T16:55:22Z
Max,I have two job interviews in the next two days…perfect timing Dr. K thank you!,2022-04-05T16:53:51Z
TheLoneBit,Oh boy! I hope this means that job I applied for calls me back for an interview!,2022-04-05T16:53:17Z
Dopamine Detox,"This could not come out at a better time. I have a debate in 2 days and I'm terrified, thank you",2022-04-05T16:52:45Z
Luke Orlowski,My experience with job interviews is it usually comes across like they are doing you a favor by giving you the time of day for an interview. They always have so many candidates etc that it just feels like I'm lucky to even be there so I don't really agree with his premise where they are looking for you. The nerves are from oh shit if I fuck even the tiniest thing up one of the other 50 candidates probably won't,2022-04-05T16:51:41Z
Keerthana Gurushankar,"There's a pretty big difference in stakes in that young people are desperate to find jobs to pay their bills. It's not service or experience that they actually care about, but they're supposed to play it like they come from a place of abundance, or at best become unironically happy for the purpose of surviving. It's kind of annoying to make fun of their desperation",2022-04-05T16:48:54Z
Confused Turtle,"Feedback to the editor: 
I definitely don't like the new music during the intros, it definitely bumps up production value, but it feels less authentic/honest to me, than before.",2022-04-05T16:46:06Z
kyol,bro just show up and don't be cringe and you get the job,2022-04-05T16:44:45Z
hmpf,Dr. K you mind reader. I literally have an interview in a few hours.,2022-04-05T16:44:22Z
fuckinchencho,"What I dislike the most is the scrutiny, being judged, stripped down of all my personal data, and being treated like they doing me a favor.",2022-04-05T16:42:35Z
Benjo,just came from a job interview and then saw this. They called me and said im in. Dr k doing some magic here,2022-04-05T16:37:41Z
Ozymandias,"My approach to job interviews is to come in with the mindset that the interview is my opportunity to see if I even like this place enough to work there, rather than thinking the interview is a “test” that must be passed.",2022-04-05T16:36:59Z
DreamBrush,"Every time Dr K makes a video, I am personally attacked",2022-04-05T16:35:24Z
